iter	Logloss
0	0.6601475066
1	0.632351228
2	0.6080685756
3	0.5880852267
4	0.5707896158
5	0.55453258
6	0.5437061224
7	0.5315243045
8	0.5196342313
9	0.5093944628
10	0.5016581508
11	0.4940036851
12	0.4871954532
13	0.4820887769
14	0.4777545587
15	0.4732126276
16	0.4696143372
17	0.4660947729
18	0.4632944964
19	0.4604653916
20	0.4580699069
21	0.4562388569
22	0.4539199381
23	0.4524189918
24	0.4503091522
25	0.4489044137
26	0.447337096
27	0.4461187481
28	0.4450554501
29	0.4438240558
30	0.4427035824
31	0.4416466728
32	0.4414364791
33	0.4398071255
34	0.438459107
35	0.4372586234
36	0.436009078
37	0.4347976407
38	0.4337816613
39	0.4329332387
40	0.4316993818
41	0.4306150436
42	0.4296356178
43	0.4287063935
44	0.4278318261
45	0.4270530853
46	0.4263749111
47	0.4259553842
48	0.4255385466
49	0.425031637
50	0.42439834
51	0.4238118543
52	0.4232724165
53	0.4227891886
54	0.4224234906
55	0.4219714186
56	0.4215388372
57	0.4212291516
58	0.4208248392
59	0.4205336521
60	0.4201726794
61	0.4198079739
62	0.4192887783
63	0.4188659181
64	0.4184331558
65	0.418064371
66	0.4176673864
67	0.4173140668
68	0.4170216917
69	0.416841697
70	0.4166799254
71	0.4163859115
72	0.4161196923
73	0.4159524391
74	0.4157072639
75	0.4154553824
76	0.4152440505
77	0.4149753832
78	0.4147822996
79	0.4146610203
80	0.4143799613
81	0.4141450453
82	0.4140627102
83	0.4138862984
84	0.4136702099
85	0.4135129965
86	0.4134122533
87	0.4133257435
88	0.4131516456
89	0.4130455189
90	0.4128398271
91	0.412697579
92	0.4125397451
93	0.4124108918
94	0.4122881398
95	0.4121014457
96	0.4119639994
97	0.4117920257
98	0.4116455376
99	0.4115590413
100	0.4114120873
101	0.4112873164
102	0.4112015199
103	0.411089345
104	0.4109808115
105	0.4108666476
106	0.4107624158
107	0.4106433357
108	0.4105595956
109	0.4104337492
110	0.410304552
111	0.4101959375
112	0.4100627644
113	0.4099270358
114	0.4098220831
115	0.4097397011
116	0.4095759642
117	0.4094637942
118	0.4093193888
119	0.4092059618
120	0.4091515717
121	0.4090179969
122	0.4090139848
123	0.4088749877
124	0.4087960713
125	0.408674313
126	0.4085030032
127	0.4083167659
128	0.4082018328
129	0.4081386285
130	0.408018761
131	0.4079495733
132	0.4078075204
133	0.4077130077
134	0.4075861131
135	0.4075501014
136	0.4074194519
137	0.4072278298
